Affiliation (College/Company/Organization Name),Count
SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,85
GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),41
VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,31
STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),29
MRCE - MALLA REDDY COLLEGE OF ENGINEERING,28
KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),27
JNTH - JNTU COLLEGE OF ENGG HYDERABAD,25
MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,24
BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,23
NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,20
GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,19
SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),15
BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,14
VAGE - VAAGDEVI COLLEGE OF ENGINEERING,12
VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,9
GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),7
NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),6
BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,6
IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,5
VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,5
GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,5
ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),5
VIT - VELLORE INSTITUTE OF TECHNOLOGY,5
MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),4
OUCE - OSMANIA UNIVERSITY COLLEGE OF ENGINEERING,4
JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,3
VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,3
MECS - MATRUSRI ENGINEERING COLLEGE,3
VGWL - VAGDEVI ENGINEERING COLLEGE,2
SWRN - SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,2
BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,1
ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),1
JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,1
IOES - GOVERNMENT INSTITUTE OF ELECTRONICS,1
GNIT - GURUNANAK INST OF TECHNOLOGY,1
CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),1
IIITH - INTERNATIONAL INSTITUTE OF INFORMATION AND TECHNOLOGY,1
BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,1
KMIT - KESHAV MEMORIAL INSTITUTE OF TECHNOLOGY,1
KLH - K L UNIVERSITY,1
NGIT - NEIL GOGTE INSTITUTE OF TECHNOLOGY,1
NIAT,1
MRU â€“ MALLA REDDY UNIVERSITY,1
MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,1
MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,1
MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,1
MALLAREDDY COLLEGE OF ENGINEERING,1
KUWL - KAKATIYA UNIVERSITY,1
MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),1
NEXTWAVE,1
SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),1
SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,1
OUCE - OSMANIA UNIVERSITY,1
VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),1
